Id;Nombre;Longitud;Latitud
322;Cno. Viejo del Fargue 21;-3.588927;37.189813
323;Cno. Viejo del Fargue 19;-3.588835;37.189776
324;Los Rebites;-3.571802;37.154447
325;Avda. Andalucía 27;-3.619127;37.191378
326;Prof. Vicente Callao - Fte Ciencias Educación;-3.599754;37.192585
327;Poeta Mira de Amézcua 1;-3.591245;37.159229
328;Casería del Cerro - Plaza Rey Badis;-3.605681;37.207864
329;Cardenal Parrado 1;-3.605048;37.18952
330;Cardenal Parrado 51;-3.601554;37.190382
331;Cno. Ronda 157;-3.613993;37.18339
332;Cno. Ronda 184;-3.613108;37.182349
333;Cno. Ronda 153;-3.61274;37.181291
334;Cno. Ronda 125;-3.611084;37.178549
335;Cno. Ronda 97;-3.608294;37.173999
336;Cno. Ronda 60 - Recogidas;-3.604872;37.168743
337;Cno. Ronda 38;-3.6037;37.166824
338;Cno. Ronda 82 - Recogidas;-3.606126;37.1708
339;Cno. Ronda 19 - Alcázar Genil;-3.602399;37.164325
340;Cno. Ronda 27;-3.603447;37.166043
341;Cno. Ronda 53;-3.604667;37.168044
342;Cno. Ronda 177 - Estadio de la Juventud;-3.614927;37.185427
343;Cno. Ronda 210;-3.614641;37.187214
344;Cno. Ronda 194 - Fte Estadio de la Juventud;-3.614268;37.184284
345;Cno. Real de los Neveros 28;-3.583359;37.160125
346;Cno. Real de los Neveros 19;-3.583401;37.160318
347;Cno. Real de los Neveros 99;-3.581218;37.159174
348;Cno. Real de los Neveros 50;-3.580934;37.158825
349;José Tamayo 23;-3.587034;37.162767
350;José Tamayo 4;-3.587157;37.162547
351;Neptuno - Fte Centro Comercial;-3.607834;37.169
352;Neptuno 5;-3.606441;37.16974
353;Cno. Bajo de Huétor 83;-3.586127;37.156483
354;Cno. Bajo de Huétor 59;-3.587842;37.158136
355;Cno. Bajo de Huétor 82;-3.588277;37.158429
356;Hoya de la Mora 2;-3.586409;37.161252
357;Ctra. Málaga 203;-3.644196;37.191654
358;Barriada Bobadilla;-3.643883;37.191777
359;Beethoven - Fte IES Alhambra;-3.603123;37.156692
360;Pedro Machuca - IES La Paz;-3.609133;37.206904
361;Pedro Machuca 23;-3.607976;37.205218
362;Pedro Machuca 32;-3.607823;37.205274
363;Avda. Pulianas 63;-3.604315;37.196284
364;Avda. Pulianas 11;-3.603781;37.189411
365;Avda. Maracena 133;-3.626342;37.203
366;Francisco Ayala 62;-3.619109;37.19526
367;Francisco Ayala 34;-3.617069;37.193578
368;Francisco Ayala 29;-3.616493;37.192581
369;Avda. Dílar 26;-3.600011;37.158496
370;Avda. Dílar 56;-3.60054;37.156044
371;Avda. Dílar 71;-3.600313;37.156382
372;Avda. Dílar 89;-3.600487;37.154492
373;Avda. Dílar 134;-3.601294;37.151498
374;Avda. Madrid 23;-3.606742;37.19044
375;Avda. Madrid - Hospital Clínico;-3.604984;37.188847
376;Avda. Cervantes 1;-3.589929;37.166587
377;Avda. Cádiz 42;-3.60389;37.154975
378;Ribera del Beiro 26;-3.608373;37.191372
379;Ribera del Beiro 10 - Mondragones;-3.610667;37.190087
380;Avda. Argentinita 2;-3.614746;37.196972
381;Avda. Andalucía - Diputación;-3.629053;37.195634
382;Avda. Andalucía 107;-3.626897;37.1943
383;Avda. Andalucía - Facultad Bellas Artes;-3.627012;37.194702
384;Avda. Andalucía 91;-3.624402;37.193153
385;Avda. Andalucía - Sindicatos;-3.621576;37.192417
386;Avda. Andalucía 38 - IES Virgen de las Nieves;-3.617804;37.191174
387;Andrés Segovia 35;-3.594432;37.16318
388;Ancha de Capuchinos - Jardines del Triunfo;-3.60124;37.184098
389;Acera del Darro 41 - Humilladero;-3.59662;37.168832
390;Avda. Sierra Nevada 81;-3.532683;37.158361
391;Avda. Sierra Nevada 63;-3.536315;37.158568
392;Ayto. Cenes de la Vega;-3.538656;37.159415
393;Avda. Sierra Nevada 37;-3.541441;37.160299
394;Avda. Sierra Nevada 29;-3.544728;37.161183
395;Avda. Sierra Nevada 23;-3.546532;37.161807
396;Ctra. de la Sierra - Manuel Cabrera;-3.549187;37.162341
397;Ctra. de la Sierra - Lancha del Genil;-3.550499;37.162439
398;Ctra. de la Sierra - Ordesa;-3.556172;37.161976
399;Ctra. de la Sierra 297;-3.559296;37.162728
400;Ctra. de la Sierra 131;-3.563196;37.163091
401;Ctra. de la Sierra 91;-3.567394;37.16308
402;Ctra. de la Sierra - Ronda Sur;-3.569512;37.162545
403;Paseo de los Basilios 3 - Col. Sagrado Corazón;-3.592779;37.168814
404;Paseo de los Basilios 12;-3.589877;37.16724
405;Ctra. de la Sierra - Hospital;-3.570629;37.162938
406;Ctra. de la Sierra 146;-3.566923;37.163019
407;Ctra. de la Sierra 152;-3.563226;37.16297
408;Ctra. de la Sierra 160;-3.559077;37.162552
409;Ctra. de la Sierra 168;-3.55667;37.16196
410;Ordesa 23;-3.553182;37.162196
411;Lancha del Genil - Ordesa;-3.551057;37.162676
412;Ctra. de la Sierra - Fte Manuel Cabrera;-3.549371;37.162212
413;Avda. Sierra Nevada 22 - Parque Acuático;-3.546499;37.161637
414;Avda. Sierra Nevada 36;-3.544781;37.161075
415;Avda. Sierra Nevada 68;-3.541253;37.160123
416;Avda. Sierra Nevada 90;-3.538856;37.159331
417;Avda. Sierra Nevada 108;-3.536327;37.15847
418;Avda. Sierra Nevada 140;-3.532814;37.15829
419;Avda. Sierra Nevada 97;-3.530397;37.157519
420;Maria Goyri - Complejo Deportivo Chana;-3.629023;37.19291
421;Periodista Eugenio Sellés - Fte Facultad Bellas Artes;-3.626461;37.195164
422;Plaza del Parque Nueva Granada -  Fte Parroquia S.J. Bautista;-3.593578;37.204874
423;Andarax 35 - San Miguel Alto;-3.586772;37.187157
424;Andarax 76;-3.587773;37.188035
425;Ramon y Cajal;-3.61657;37.181807
426;Plaza de la Ilusión;-3.615618;37.182153
427;Arabial 109;-3.614012;37.181067
428;Arabial 101;-3.613063;37.179482
429;Arabial - Centro Comercial;-3.612226;37.177883
430;Avda. Fuente Nueva - Universidad;-3.608014;37.179544
431;Avda. de la Ilustración - Facultad Ciencias de la Salud;-3.60576;37.149263
432;Torre de Comares - Nuevo los Cármenes;-3.597157;37.150754
433;Pintor Maldonado 24;-3.596865;37.154468
434;Plaza de los Andes;-3.573693;37.157342
435;Cno. Real de los Neveros - Fte 118;-3.574658;37.15619
436;Pintor Maldonado 12;-3.596535;37.15672
437;Doctor Alejandro Otero;-3.606344;37.16445
438;Maestro Montero;-3.6076;37.165663
439;Neptuno 4;-3.606454;37.169932
440;Recogidas 51;-3.604745;37.170706
441;Recogidas 50;-3.604812;37.170786
442;Palacio de Congresos;-3.598653;37.165856
443;Tierno Galván - Palacio Congresos;-3.598024;37.165883
444;Fontiveros - Plaza de la Hípica;-3.595718;37.161521
445;Cno. Bajo de Huétor - CSIC;-3.589921;37.161855
446;Cno. Bajo de Huétor - Fte CSIC;-3.589868;37.161948
447;Andrés Segovia 1;-3.594131;37.164858
448;Plaza Mariana Pineda;-3.597247;37.17249
449;Ángel Ganivet 2;-3.598774;37.17318
450;San Matias 16;-3.596795;37.173646
451;Avda. del Hospicio - Triunfo;-3.601731;37.183341
452;Severo Ochoa  - Fuente Nueva;-3.605014;37.183697
453;Doctor Olóriz 3;-3.60832;37.186496
454;Cruz del Sur 2 - Villarejo;-3.61453;37.188671
455;Ribera del Beiro - Hospital Materno Infantil;-3.611302;37.189192
456;Eduardo Molina Fajardo - Escuela Gerencia;-3.630603;37.197302
457;Eduardo Molina Fajardo 1;-3.627265;37.19749
458;Avda. Federico García Lorca 9;-3.617447;37.198957
459;Juan Pablo II 23;-3.610819;37.197432
460;Teté Montoliú 7;-3.60556;37.198515
461;Pedro Machuca - Periodista Luis de Vicente;-3.604575;37.199335
462;Pedro Machuca 7;-3.605909;37.201875
463;Joaquina Eguaras 21;-3.611217;37.203745
464;Pedro Machuca - Comandancia Guardia Civil;-3.606789;37.203549
465;Pedro Machuca - Centro de Salud Cartuja;-3.609325;37.207635
466;Pedro Machuca - Fte Centro de Salud Cartuja;-3.60949;37.207558
467;Arquitecto Modesto Cendoya 10;-3.617186;37.209121
468;Cno. Conejeras 14;-3.58145;37.158157
469;Cno. Conejeras - Fte 18;-3.581627;37.158082
470;Plaza del Carmen - Ayuntamiento;-3.599049;37.174181
471;Avda. Innovación - Fte 20;-3.606641;37.150074
472;Avda. Cádiz 129;-3.605157;37.152448
473;Avda. Cádiz 70;-3.605291;37.152463
474;Avda. Cádiz 47;-3.60344;37.155539
475;Avda. Cádiz 33;-3.602529;37.157128
476;Avda. Cádiz 24;-3.602667;37.157128
477;Avda. Cádiz 9;-3.601155;37.15894
478;Avda. Cádiz 12;-3.601113;37.159213
479;Avda. Federico García Lorca 10;-3.616334;37.199282
480;Pintor Fenando Belda - Centro Deportivo;-3.63072;37.188591
481;Actriz Fabiana Laura 20 - CEIP Eugenia de Montijo;-3.62748;37.187129
482;Pintor Fenando Belda - Parque Alquerías;-3.625104;37.184218
483;Pintor Fenando Belda - Fte Parque Alquerías;-3.625043;37.184316
484;P. Marcelino Álvarez - I.E.S. Severo Ochoa;-3.623235;37.183837
485;Ntra. Señora de la Salud 5;-3.613061;37.18969
486;Ribera del Beiro - Frente 14;-3.610486;37.190688
487;Avda. Conocimiento 41;-3.599746;37.147737
488;Catedral Línea Buho;-3.598227;37.176863
489;Plaza del Parque Nueva Granada;-3.595842;37.205143
