Source;Target;Distance (m)
292;293;392.22256890897626
293;294;225.6657074616325
517;518;154.83062844422915
518;519;10.004979450742363
519;520;1261.2997847096517
520;521;17.58842709035064
521;49;218.6100739891569
290;186;276.8571536234045
289;288;265.3201028311118
288;188;521.056625654497
294;291;441.1446418319117
291;292;177.0154015044811
292;404;157.47313892858284
404;403;366.9115684627332
403;190;272.04813639107005
190;547;368.6473258697872
547;73;2197.920204411748
96;185;680.2287894130412
297;187;427.97256560607764
293;191;472.64480689072974
507;591;315.8651914774485
591;443;416.12261223858775
444;516;231.30180753310597
516;561;201.52789238790268
561;566;31.150063029151653
566;445;247.29329083090494
445;125;196.23723567061617
125;238;210.0443891114378
238;245;206.77484873273374
245;355;147.46532984477454
355;117;339.90661711936366
117;50;468.91888523769063
50;353;481.65373095340817
354;237;240.8684704487685
237;327;174.15892658383746
327;126;73.69052097937906
126;446;272.1032503887245
446;560;431.8360584650192
560;387;119.39023985563479
588;210;267.08320404616694
279;282;489.00428750430723
282;379;553.2577783826454
378;301;281.0765075686445
301;298;231.0734030935745
298;51;172.71701462327013
460;311;656.9045349139972
312;313;21.432544545489648
313;315;249.42040598914022
315;314;102.67180585617193
314;326;312.72075687097674
326;506;329.68229949044087
506;514;266.39946432799286
514;215;200.09866308246097
215;263;203.88600248954978
263;510;203.6200242803743
510;318;181.39246746417922
318;231;298.5358630227947
231;310;867.8463364169156
310;614;360.7177487979943
614;233;530.3360353276365
233;234;53.50543582022619
234;199;484.9019024085072
545;200;323.5877784041801
200;300;413.5736807253748
453;317;215.72752678405158
228;281;282.8574887747359
281;280;471.38473239530066
280;278;381.7288144456267
278;276;336.2607743022806
276;589;296.3168542975459
589;420;306.4159471889191
420;421;379.24887106185304
221;211;839.5607193504829
214;352;410.1965843585222
352;439;21.387544806567668
439;351;185.07309976420365
351;59;236.74271417525912
59;438;243.12430400208697
438;437;194.06107420955908
437;230;248.1243077832975
230;543;167.5277670736437
543;229;177.9649133907368
229;440;287.8437878649426
440;441;11.597395920848193
441;212;522.2489726244778
213;449;195.52723784225878
449;448;186.23093015489877
448;450;137.94852763139576
122;484;540.593405553735
484;480;985.4823728030506
480;481;395.05254515526656
481;482;417.612050116636
482;483;12.829215303779344
483;425;982.0991281476795
425;426;112.57563310461296
426;332;279.80809857688706
332;427;174.34092634556822
427;75;211.022408731734
75;428;170.86676994142033
428;429;200.5857288769778
429;76;176.53869548570563
76;246;369.40920093315066
246;244;488.79216490618
244;243;367.04435070414456
243;264;297.35357318189415
264;77;190.06088323638986
77;344;1085.0205216045886
344;121;303.2473184295663
121;120;308.5879157733859
576;246;269.07210958442096
192;231;304.1860623882985
231;326;131.541117472
266;605;640.1863403780299
